,cities,geocode
656,Bebedouro/SP,3506102
657,Boa Esperança/ES,3201001
658,Bom Jardim/PE,2602209
659,Bom Jardim/RJ,3300506
660,Botelhos/MG,3108404
661,Bragança Paulista/SP,3507605
662,Cabo Frio/RJ,3300704
663,Cascavel/CE,2303501
664,Casimiro de Abreu/RJ,3301306
665,Catanduva/SP,3511102
666,Catende/PE,2604205
667,Chapada dos Guimarães/MT,5103007
668,Corumbá/MS,5003207
669,Encantado/RS,4306809
670,Harmonia/RS,4309555
671,Ibiúna/SP,3519709
672,Igarassu/PE,2606804
673,Itapeva/MG,3133600
674,Itatiba/SP,3523404
675,Japeri/RJ,3302270
676,Macaparana/PE,2609006
677,Monte Alto/SP,3531308
678,Moreno/PE,2609402
679,Nova Glória/GO,5214861
680,Nova Venécia/ES,3203908
681,Pareci Novo/RS,4314035
682,Peruíbe/SP,3537602
683,Pindamonhangaba/SP,3538006
684,Piumhi/MG,3151503
685,Porto Real/RJ,3304110
686,Primavera do Leste/MT,5107040
687,Quatis/RJ,3304128
688,Quitandinha/PR,4121208
689,Salgueiro/PE,2612208
690,Salto/SP,3545209
691,Sangão/SC,4215455
692,Santa Inês/MA,2109908
693,Santa Rita/PB,2513703
694,Santo Antônio do Tauá/PA,1507003
695,Sapucaia/RJ,3305406
696,Simão Dias/SE,2807105
697,Sonora/MS,5007935
698,Sumaré/SP,3552403
699,São Benedito do Rio Preto/MA,2110401
700,São Roque/SP,3550605
701,Timbaúba/PE,2615300
702,Tupandi/RS,4322251
703,Vianópolis/GO,5222005
704,Vitorino/PR,4128708
705,Vitória de Santo Antão/PE,2616407
706,Alpercata/MG,3101805
707,Araci/BA,2902104
708,Arcoverde/PE,2601201
709,Arroio dos Ratos/RS,4301107
710,Avaré/SP,3504503
711,Bady Bassitt/SP,3504602
712,Batatais/SP,3505906
713,Bayeux/PB,2501807
714,Bela Vista de Goiás/GO,5203302
715,Bujari/AC,1200138
716,Carangola/MG,3113305
717,Caçapava/SP,3508504
718,Colinas/MA,2103505
719,Conceição do Coité/BA,2908408
720,Euclides da Cunha/BA,2910701
721,Forquilhinha/SC,4205456
722,Glorinha/RS,4309050
723,Goiandira/GO,5208509
724,Goiatuba/GO,5209101
725,Gongogi/BA,2911501
726,Guapó/GO,5209200
727,Guararema/SP,3518305
728,Gurupi/TO,1709500
729,Icapuí/CE,2305357
730,Icatu/MA,2105104
731,Ipaba/MG,3131158
732,Itagi/BA,2915106
733,Itaiçaba/CE,2306207
734,Itatim/BA,2916856
735,Ivaiporã/PR,4111506
736,Jacareí/SP,3524402
737,Jales/SP,3524808
738,Joanópolis/SP,3525508
739,Lambari D'Oeste/MT,5105234
740,Laranjal Paulista/SP,3526407
741,Manicoré/AM,1302702
742,Mococa/SP,3530508
743,Mombaça/CE,2308500
744,Montividiu/GO,5213756
745,Olímpia/SP,3533908
746,Ouro Preto do Oeste/RO,1100155
747,Pacatuba/SE,2804904
748,Passira/PE,2610509
749,Pindorama/SP,3538105
750,Pires do Rio/GO,5217401
751,Presidente Figueiredo/AM,1303536
752,Presidente Prudente/SP,3541406
753,Rio das Flores/RJ,3304508
754,Serrinha/BA,2930501
755,Sertãozinho/SP,3551702
756,São Bento do Sul/SC,4215802
757,São João Nepomuceno/MG,3162906
758,São João do Ivaí/PR,4125001
759,Tanabi/SP,3553401
760,Tangará/SC,4217907
761,Toledo/PR,4127700
762,Urbano Santos/MA,2112605
763,Vacaria/RS,4322509
764,Vazante/MG,3171006
765,Venda Nova do Imigrante/ES,3205069
766,Abreu e Lima/PE,2600054
767,Anhanguera/GO,5201207
768,Artur Nogueira/SP,3503802
769,Aurora/SC,4201901
770,Balneário Piçarras/SC,4212809
771,Barra Velha/SC,4202107
772,Barra do Turvo/SP,3505401
773,Bom Retiro do Sul/RS,4302402
774,Borda da Mata/MG,3108305
775,Campina da Lagoa/PR,4103909
776,Cantagalo/RJ,3301108
777,Capoeiras/PE,2603801
778,Carpina/PE,2604007
779,Caçador/SC,4203006
780,Cidreira/RS,4305454
781,Cocal do Sul/SC,4204251
782,Eldorado/SP,3514809
783,Frei Miguelinho/PE,2605806
784,Garanhuns/PE,2606002
785,Garopaba/SC,4205704
786,Guaramirim/SC,4206504
787,Guaratinguetá/SP,3518404
788,Itanhandu/MG,3133105
789,Itapebi/BA,2916302
790,Itapeva/SP,3522406
791,Itatinga/SP,3523503
792,Ituberá/BA,2917300
793,Jaci/SP,3524501
794,João Alfredo/PE,2608107
795,João Monlevade/MG,3136207
796,Limoeiro/PE,2608909
797,Manoel Ribas/PR,4114500
798,Massaranduba/SC,4210605
799,Montenegro/RS,4312401
800,Mário Campos/MG,3140159
801,Orleans/SC,4211702
802,Paraty/RJ,3303807
803,Pará de Minas/MG,3147105
804,Paty do Alferes/RJ,3303856
805,Pombos/PE,2611309
806,Rio Negrinho/SC,4215000
807,Santa Luzia/BA,2928059
808,Santa Maria de Itabira/MG,3158003
809,Sumidouro/RJ,3305703
810,São João da Boa Vista/SP,3549102
811,Ubatã/BA,2932309
812,Vidal Ramos/SC,4219200
813,Várzea Alegre/CE,2314003
814,Araçoiaba da Serra/SP,3502903
815,Ariquemes/RO,1100023
816,Bom Conselho/PE,2602100
817,Bom Jesus do Itabapoana/RJ,3300605
818,Cachoeira Grande/MA,2102374
819,Cachoeiras de Macacu/RJ,3300803
820,Camacan/BA,2905602
821,Cansanção/BA,2906808
822,Cantanhede/MA,2102705
823,Chapadinha/MA,2103208
824,Crato/CE,2304202
825,Cubatão/SP,3513504
826,Independência/CE,2305605
827,Ipojuca/PE,2607208
828,Itajubá/MG,3132404
829,Itapecerica/MG,3133501
830,Itatiaia/RJ,3302254
831,Jaguaquara/BA,2917607
832,Marumbi/PR,4115507
833,Nova Trento/SC,4211504
834,Ourinhos/SP,3534708
835,Paiçandu/PR,4117503
836,Paracambi/RJ,3303609
837,Pedra Bela/SP,3536802
838,Pirapora/MG,3151206
839,Porto Ferreira/SP,3540705
840,Professor Jamil/GO,5218391
841,Quixeré/CE,2311504
842,Rio do Pires/BA,2926905
843,Russas/CE,2311801
844,Santa Bárbara d'Oeste/SP,3545803
845,Sarandi/RS,4320107
846,Senador Sá/CE,2312809
847,Serra Talhada/PE,2613909
848,São Caitano/PE,2613107
849,São Francisco de Itabapoana/RJ,3304755
850,São Gabriel da Palha/ES,3204708
851,São Lourenço/MG,3163706
852,São Luís do Curu/CE,2312601
853,São Miguel Arcanjo/SP,3550209
854,Tabuleiro do Norte/CE,2313104
855,Tefé/AM,1304203
856,Tupã/SP,3555000
