,covid_cases_geocode
1300,2600807
1301,4100905
1302,2100709
1303,3200508
1304,2301307
1305,3104106
1306,4301008
1307,2301851
1308,2903300
1309,2603207
1310,1300904
1311,4304705
1312,3113701
1313,4106704
1314,2605103
1315,2802106
1316,2203909
1317,2305209
1318,2703007
1319,2305332
1320,2404606
1321,3519907
1322,1503200
1323,5210000
1324,3133303
1325,4112405
1326,2307106
1327,2608057
1328,2608305
1329,1302207
1330,3137601
1331,2205565
1332,2406809
1333,2308302
1334,2705507
1335,4312658
1336,4212007
1337,4118105
1338,2610806
1339,2207900
1340,2310803
1341,3538808
1342,3204203
1343,4119707
1344,2311231
1345,2611200
1346,2926608
1347,1506302
1348,1506401
1349,4124053
1350,1200450
1351,2614204
1352,3167707
1353,4126702
1354,3553708
1355,2615805
1356,2313906
1357,3170909
1358,3171204
1359,2314102
1360,3171303
1361,4219705
1362,1500909
1363,1300300
1364,2101400
1365,5001904
1366,2201739
1367,1501808
1368,1502608
1369,2202752
1370,3120904
1371,3514908
1372,2605509
1373,3518909
1374,4109807
1375,2914000
1376,4207809
1377,2914653
1378,2914703
1379,2915700
1380,2607703
1381,2205102
1382,4111803
1383,2306702
1384,2206209
1385,3529708
1386,2106672
1387,3530102
1388,2921609
1389,2921906
1390,1504059
1391,1505304
1392,1505403
1393,2310704
1394,2706901
1395,4119251
1396,5217609
1397,3152303
1398,2805604
1399,3542008
1400,1506500
1401,3304706
1402,3162955
1403,1507961
1404,2615904
1405,2616308
1406,5105507
1407,2113009
1408,1508407
1409,3200201
1410,2400505
1411,2301505
1412,2301901
1413,1300631
1414,2503704
1415,3510302
1416,2701704
1417,1400233
1418,3557204
1419,2504603
1420,2909505
1421,2504900
1422,3201902
1423,3124401
1424,3202306
1425,2607000
1426,1503408
1427,3202652
1428,2506905
1429,2607653
1430,2608008
1431,4114203
1432,2704807
1433,3140209
1434,3532405
1435,2206720
1436,2309458
1437,1505486
1438,2924009
1439,1100189
1440,2109205
1441,3541703
1442,4316402
1443,1506609
1444,2312502
1445,3549953
1446,1507706
1447,2614600
1448,1507953
1449,1508035
1450,4323200
1451,3556909
1452,2900405
1453,2900306
1454,2500403
1455,2300903
1456,2301257
1457,1300409
1458,2501708
1459,1300607
1460,4103057
1461,3508405
1462,4303806
1463,2402105
1464,2402402
1465,3301405
1466,2504801
1467,1502772
1468,1502905
1469,2403756
1470,4107900
1471,1503077
1472,2912103
1473,2305704
1474,2507101
1475,2306603
1476,3524204
1477,5104807
1478,2608255
1479,3137403
1480,4311791
1481,1302801
1482,2609501
